0.000000	0.000000	n-001
2.071536	2.071536	n-002
5.128561	5.128561	n-005
8.085025	8.085025	n-006
10.035890	10.035890	n-001
11.745410	11.745410	n-002
13.314146	13.314146	n-004
15.365571	15.365571	n-007
17.758899	17.758899	n-009
19.186851	19.186851	n-006
20.554468	20.554468	n-001
21.962308	21.962308	n-002
23.249476	23.249476	n-004
24.717652	24.717652	n-007
26.809301	26.809301	n-008
28.599269	28.599269	n-002
30.288677	30.288677	n-003
31.475286	31.475286	n-010
33.406038	33.406038	n-012
35.739030	35.739030	n-013
37.528999	37.528999	n-016
38.755831	38.755831	n-017
